board_rank,name,pos,team,bye,inj,proj_ppr,proj_half,proj_std,adp_ppr,adp_half,adp_std,adp_ppr_sleeper,adp_ppr_espn,adp_sources,gp,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,pass_int,sleeper_id,espn_id
1,Jahmyr Gibbs,RB,DET,6,,351.8,299.9,268.4,1.4,1.4,1.7,1.6,1.4,5,18,66,540,3.2,275,1340,13.3,,,,9221,
2,Bijan Robinson,RB,ATL,11,,337.8,292.9,260.9,2.4,2.4,1.9,2.9,2.5,5,18,69,621,3.2,283,1371,8.6,,,,9509,
3,Ja'Marr Chase,WR,CIN,6,,324.2,256.6,202.1,3.6,3.6,5.0,3.7,4.3,5,18,115,1427,10.9,4,18,0.1,,,,7564,
4,Puka Nacua,WR,LAR,11,,333.1,259.0,205.5,5.0,5.3,6.8,4.8,5.2,5,18,115,1499,9.8,12,73,1.0,,,,9493,
5,Christian McCaffrey,RB,SF,8,,308.4,256.0,221.0,6.0,6.0,5.5,5.2,7.6,5,18,76,663,4.5,236,970,7.4,,,,4034,3117251
6,Jaxon Smith-Njigba,WR,SEA,11,,304.4,235.1,185.6,6.6,7.2,8.8,6.2,6.5,5,18,107,1448,8.3,5,29,0.2,,,,9488,
7,Jonathan Taylor,RB,IND,13,,294.0,254.3,236.3,6.7,6.2,4.6,6.2,6.3,5,18,43,334,1.2,306,1443,11.2,,,,6813,4242335
8,Amon-Ra St. Brown,WR,DET,6,,302.9,227.5,174.5,8.1,7.9,11.8,8.7,8.6,5,18,112,1341,9.2,3,15,0.1,,,,7547,
9,James Cook,RB,BUF,7,,270.8,245.3,229.8,9.7,8.9,7.2,9.6,10.3,5,18,34,287,1.8,282,1336,11.0,,,,8138,
10,CeeDee Lamb,WR,DAL,14,,282.5,222.5,174.5,11.2,11.7,13.7,10.6,11.5,5,18,100,1315,8.3,3,14,0.1,,,,6786,4241389
11,Justin Jefferson,WR,MIN,6,,272.2,205.4,160.4,12.2,12.6,15.6,11.7,12.3,5,18,101,1273,7.2,2,8,0.1,,,,6794,4262921
12,De'Von Achane,RB,MIA,6,,275.1,229.9,202.4,12.6,12.6,10.9,13.8,13.6,5,18,60,463,2.4,249,1239,5.5,,,,9226,
13,Saquon Barkley,RB,PHI,10,,259.9,228.2,209.7,13.8,13.1,12.7,12.0,14.3,5,18,40,324,2.2,286,1252,8.3,,,,4866,3929630
14,Chase Brown,RB,CIN,6,,263.4,226.7,198.2,14.7,15.3,15.4,13.6,18.3,5,18,61,426,2.9,229,990,7.7,,,,9224,
15,Derrick Henry,RB,BAL,13,,262.4,238.4,229.9,16.3,14.3,10.2,18.8,16.7,5,18,19,172,1.1,301,1455,12.7,,,,3198,3043078
16,Omarion Hampton,RB,LAC,7,,252.4,218.9,194.9,17.3,17.0,16.0,15.9,18.1,5,18,50,364,1.9,243,1055,8.7,,,,12507,
17,Ashton Jeanty,RB,LV,13,,266.0,228.7,204.2,19.3,19.7,18.7,16.9,21.6,5,18,57,428,2.0,269,1119,7.5,,,,12527,
18,Kenneth Walker,RB,KC,5,,258.8,225.5,207.0,20.1,19.6,18.4,19.3,24.9,5,18,43,324,1.8,268,1199,9.0,,,,8151,
19,Drake London,WR,ATL,11,,258.4,205.2,160.2,20.1,21.8,23.4,20.7,20.9,5,18,95,1196,7.1,1,6,,,,,8112,
20,A.J. Brown,WR,NE,11,IR,178.8,140.0,113.0,22.9,23.5,27.4,17.3,22.2,5,16,60,868,5.2,1,5,,,,,5859,4047646
